symbol,company_name,series,primary_index,all_indices
MOTILALOFS,Motilal Oswal Financial Services Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
MPHASIS,MphasiS Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
MRF,MRF Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
MRPL,Mangalore Refinery & Petrochemicals Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
MSUMI,Motherson Sumi Wiring India Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
MUTHOOTFIN,Muthoot Finance Ltd.,EQ,NIFTY100,NIFTY100|NIFTY200
NAM-INDIA,Nippon Life India Asset Management Ltd.,EQ,NIFTYMIDCAP150,NIFTYMIDCAP150
NATCOPHARM,NATCO Pharma Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
NATIONALUM,National Aluminium Co. Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
NAUKRI,Info Edge (India) Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
NAVA,Nava Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
NAVINFLUOR,Navin Fluorine International Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
NBCC,NBCC (India) Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
NCC,NCC Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
NESTLEIND,Nestle India Ltd.,EQ,NIFTY50,NIFTY50|NIFTY100|NIFTY200
NETWEB,Netweb Technologies India Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
NEULANDLAB,Neuland Laboratories Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
NEWGEN,Newgen Software Technologies Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
NH,Narayana Hrudayalaya Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
NHPC,NHPC Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
NIACL,The New India Assurance Company Ltd.,EQ,NIFTYMIDCAP150,NIFTYMIDCAP150
NIVABUPA,Niva Bupa Health Insurance Company Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
NLCINDIA,NLC India Ltd.,EQ,NIFTYMIDCAP150,NIFTYMIDCAP150
NMDC,NMDC Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
NSLNISP,NMDC Steel Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
NTPC,NTPC Ltd.,EQ,NIFTY50,NIFTY50|NIFTY100|NIFTY200
NTPCGREEN,NTPC Green Energy Ltd.,EQ,NIFTYMIDCAP150,NIFTYMIDCAP150
NUVAMA,Nuvama Wealth Management Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
NUVOCO,Nuvoco Vistas Corporation Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
NYKAA,FSN E-Commerce Ventures Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
OBEROIRLTY,Oberoi Realty Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
OFSS,Oracle Financial Services Software Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
OIL,Oil India Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
OLAELEC,Ola Electric Mobility Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
OLECTRA,Olectra Greentech Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
ONESOURCE,Onesource Specialty Pharma Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
ONGC,Oil & Natural Gas Corporation Ltd.,EQ,NIFTY50,NIFTY50|NIFTY100|NIFTY200
PAGEIND,Page Industries Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
PARADEEP,Paradeep Phosphates Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
PATANJALI,Patanjali Foods Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
PAYTM,One 97 Communications Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
PCBL,PCBL Chemical Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
PERSISTENT,Persistent Systems Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
PETRONET,Petronet LNG Ltd.,EQ,NIFTYMIDCAP150,NIFTYMIDCAP150
PFC,Power Finance Corporation Ltd.,EQ,NIFTY100,NIFTY100|NIFTY200
PFIZER,Pfizer Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
PGEL,PG Electroplast Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
PHOENIXLTD,Phoenix Mills Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
PIDILITIND,Pidilite Industries Ltd.,EQ,NIFTY100,NIFTY100|NIFTY200
PIIND,PI Industries Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
PINELABS,Pine Labs Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
PIRAMALFIN,Piramal Finance Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
PNB,Punjab National Bank,EQ,NIFTY100,NIFTY100|NIFTY200
PNBHOUSING,PNB Housing Finance Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
POLICYBZR,PB Fintech Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
POLYCAB,Polycab India Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
POLYMED,Poly Medicure Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
POONAWALLA,Poonawalla Fincorp Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
POWERGRID,Power Grid Corporation of India Ltd.,EQ,NIFTY50,NIFTY50|NIFTY100|NIFTY200
POWERINDIA,Hitachi Energy India Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
PPLPHARMA,Piramal Pharma Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
PREMIERENE,Premier Energies Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
PRESTIGE,Prestige Estates Projects Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
PTCIL,PTC Industries Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
PVRINOX,PVR INOX Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
PWL,Physicswallah Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
RADICO,Radico Khaitan Ltd,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
RAILTEL,Railtel Corporation Of India Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
RAINBOW,Rainbow Childrens Medicare Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
RAMCOCEM,The Ramco Cements Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
RBLBANK,RBL Bank Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
RECLTD,REC Ltd.,EQ,NIFTY100,NIFTY100|NIFTY200
REDINGTON,Redington Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
RELIANCE,Reliance Industries Ltd.,EQ,NIFTY50,NIFTY50|NIFTY100|NIFTY200
RHIM,RHI MAGNESITA INDIA LTD.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
RITES,RITES Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
RKFORGE,Ramkrishna Forgings Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
RPOWER,Reliance Power Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
RRKABEL,R R Kabel Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
RVNL,Rail Vikas Nigam Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
SAGILITY,Sagility Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
SAIL,Steel Authority of India Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
SAILIFE,Sai Life Sciences Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
SAMMAANCAP,Sammaan Capital Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
SAPPHIRE,Sapphire Foods India Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
SARDAEN,Sarda Energy and Minerals Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
SAREGAMA,Saregama India Ltd,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
SBFC,SBFC Finance Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
SBICARD,SBI Cards and Payment Services Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
SBILIFE,SBI Life Insurance Company Ltd.,EQ,NIFTY50,NIFTY50|NIFTY100|NIFTY200
SBIN,State Bank of India,EQ,NIFTY50,NIFTY50|NIFTY100|NIFTY200
SCHAEFFLER,Schaeffler India Ltd.,EQ,NIFTYMIDCAP150,NIFTYMIDCAP150
SCHNEIDER,Schneider Electric Infrastructure Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
SCI,Shipping Corporation of India Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
SHREECEM,Shree Cement Ltd.,EQ,NIFTY100,NIFTY100|NIFTY200
SHRIRAMFIN,Shriram Finance Ltd.,EQ,NIFTY50,NIFTY50|NIFTY100|NIFTY200
SHYAMMETL,Shyam Metalics and Energy Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
SIEMENS,Siemens Ltd.,EQ,NIFTY100,NIFTY100|NIFTY200
SIGNATURE,Signatureglobal (India) Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
SJVN,SJVN Ltd.,EQ,NIFTYMIDCAP150,NIFTYMIDCAP150
SOBHA,Sobha Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
SOLARINDS,Solar Industries India Ltd.,EQ,NIFTY100,NIFTY100|NIFTY200
SONACOMS,Sona BLW Precision Forgings Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
SONATSOFTW,Sonata Software Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
SPLPETRO,Supreme Petrochem Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
SRF,SRF Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
STARHEALTH,Star Health and Allied Insurance Company Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
SUMICHEM,Sumitomo Chemical India Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
SUNDARMFIN,Sundaram Finance Ltd.,EQ,NIFTYMIDCAP150,NIFTYMIDCAP150
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,EQ,NIFTY50,NIFTY50|NIFTY100|NIFTY200
SUNTV,Sun TV Network Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
SUPREMEIND,Supreme Industries Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
SUZLON,Suzlon Energy Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
SWANCORP,Swan Corp Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
SWIGGY,Swiggy Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
SYNGENE,Syngene International Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
SYRMA,Syrma SGS Technology Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
TARIL,Transformers And Rectifiers (India) Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
TATACAP,Tata Capital Ltd.,EQ,NIFTY100,NIFTY100|NIFTY200
TATACHEM,Tata Chemicals Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
TATACOMM,Tata Communications Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
TATACONSUM,Tata Consumer Products Ltd.,EQ,NIFTY50,NIFTY50|NIFTY100|NIFTY200
TATAELXSI,Tata Elxsi Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
TATAINVEST,Tata Investment Corporation Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
TATAPOWER,Tata Power Co. Ltd.,EQ,NIFTY100,NIFTY100|NIFTY200
TATASTEEL,Tata Steel Ltd.,EQ,NIFTY50,NIFTY50|NIFTY100|NIFTY200
TATATECH,Tata Technologies Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
TBOTEK,TBO Tek Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
TCS,Tata Consultancy Services Ltd.,EQ,NIFTY50,NIFTY50|NIFTY100|NIFTY200
TECHM,Tech Mahindra Ltd.,EQ,NIFTY50,NIFTY50|NIFTY100|NIFTY200
TECHNOE,Techno Electric & Engineering Company Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
TEGA,Tega Industries Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
TEJASNET,Tejas Networks Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
TENNIND,Tenneco Clean Air India Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
THELEELA,Leela Palaces Hotels & Resorts Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
THERMAX,Thermax Ltd.,EQ,NIFTYMIDCAP150,NIFTYMIDCAP150
TIINDIA,Tube Investments of India Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
TIMKEN,Timken India Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
TITAGARH,Titagarh Rail Systems Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
TITAN,Titan Company Ltd.,EQ,NIFTY50,NIFTY50|NIFTY100|NIFTY200
TMCV,Tata Motors Ltd.,EQ,NIFTY100,NIFTY100|NIFTY200
TMPV,Tata Motors Passenger Vehicles Ltd.,EQ,NIFTY50,NIFTY50|NIFTY100|NIFTY200
TORNTPHARM,Torrent Pharmaceuticals Ltd.,EQ,NIFTY100,NIFTY100|NIFTY200
TORNTPOWER,Torrent Power Ltd.,EQ,NIFTYMIDCAP150,NIFTYMIDCAP150
TRAVELFOOD,Travel Food Services Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
TRENT,Trent Ltd.,EQ,NIFTY50,NIFTY50|NIFTY100|NIFTY200
TRIDENT,Trident Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
TRITURBINE,Triveni Turbine Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
TTML,Tata Teleservices (Maharashtra) Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
TVSMOTOR,TVS Motor Company Ltd.,EQ,NIFTY100,NIFTY100|NIFTY200
UBL,United Breweries Ltd.,EQ,NIFTYMIDCAP150,NIFTYMIDCAP150
UCOBANK,UCO Bank,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
ULTRACEMCO,UltraTech Cement Ltd.,EQ,NIFTY50,NIFTY50|NIFTY100|NIFTY200
UNIONBANK,Union Bank of India,EQ,NIFTY100,NIFTY100|NIFTY200
UNITDSPR,United Spirits Ltd.,EQ,NIFTY100,NIFTY100|NIFTY200
UNOMINDA,UNO Minda Ltd.,EQ,NIFTYMIDCAP150,NIFTYMIDCAP150
UPL,UPL Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
URBANCO,Urban Company Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
USHAMART,Usha Martin Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
UTIAMC,UTI Asset Management Company Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
VBL,Varun Beverages Ltd.,EQ,NIFTY100,NIFTY100|NIFTY200
VEDL,Vedanta Ltd.,EQ,NIFTY100,NIFTY100|NIFTY200
VIJAYA,Vijaya Diagnostic Centre Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
VMM,Vishal Mega Mart Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
VOLTAS,Voltas Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
VTL,Vardhman Textiles Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
WAAREEENER,Waaree Energies Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
WELCORP,Welspun Corp Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
WELSPUNLIV,Welspun Living Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
WHIRLPOOL,Whirlpool of India Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
WIPRO,Wipro Ltd.,EQ,NIFTY50,NIFTY50|NIFTY100|NIFTY200
WOCKPHARMA,Wockhardt Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
YESBANK,Yes Bank Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
ZEEL,Zee Entertainment Enterprises Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
ZENSARTECH,Zensar Technolgies Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
ZENTEC,Zen Technologies Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
ZYDUSLIFE,Zydus Lifesciences Ltd.,EQ,NIFTY100,NIFTY100|NIFTY200
ZYDUSWELL,Zydus Wellness Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
