symbol,company_name,series,primary_index,all_indices
DRREDDY,Dr. Reddy's Laboratories Ltd.,EQ,NIFTY50,NIFTY50|NIFTY100|NIFTY200
ECLERX,eClerx Services Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
EICHERMOT,Eicher Motors Ltd.,EQ,NIFTY50,NIFTY50|NIFTY100|NIFTY200
EIDPARRY,E.I.D. Parry (India) Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
EIHOTEL,EIH Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
ELECON,Elecon Engineering Co. Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
ELGIEQUIP,Elgi Equipments Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
EMAMILTD,Emami Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
EMCURE,Emcure Pharmaceuticals Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
EMMVEE,Emmvee Photovoltaic Power Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
ENDURANCE,Endurance Technologies Ltd.,EQ,NIFTYMIDCAP150,NIFTYMIDCAP150
ENGINERSIN,Engineers India Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
ENRIN,Siemens Energy India Ltd.,EQ,NIFTY100,NIFTY100|NIFTY200
ERIS,Eris Lifesciences Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
ESCORTS,Escorts Kubota Ltd.,EQ,NIFTYMIDCAP150,NIFTYMIDCAP150
ETERNAL,Eternal Ltd.,EQ,NIFTY50,NIFTY50|NIFTY100|NIFTY200
EXIDEIND,Exide Industries Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
FACT,Fertilisers and Chemicals Travancore Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
FEDERALBNK,Federal Bank Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
FINCABLES,Finolex Cables Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
FIRSTCRY,Brainbees Solutions Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
